,outputs
10,"{'ID': 11, 'name': 'Файнаг', 'address': 'Рябиновая ул., 41, корп. 1, Москва', 'website': 'www.faynag.ru', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': '10:00-17:00', 'sun': '10:00-17:00'}, 'ypage': 'https://yandex.ru/maps/org/faynag/184572033550/?ll=37.423104%2C55.702092&z=13', 'goods': None, 'rating': '4,0', 'reviews': None, 'phone': ['+7 (495) 784-06-82Показать телефон'], 'social': []}"
11,"{'ID': 12, 'name': 'Glumoda', 'address': '1-й Кожевнический пер., 6, стр. 1, Москва', 'website': '', 'opening_hours': {'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00', 'sun': '11:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/glumoda/121662203516/?ll=37.645968%2C55.726639&z=13', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (912) 590-79-50Показать телефон'], 'social': []}"
12,"{'ID': 13, 'name': 'Мир Фурнитуры', 'address': 'Шарикоподшипниковская ул., 13, стр. 3, Москва', 'website': 'mirfurnitury24.ru', 'opening_hours': {'mon': '10:30-19:30', 'tue': '10:30-19:30', 'wed': '10:30-19:30', 'thu': '10:30-19:30', 'fri': '10:30-19:30', 'sat': '10:30-19:30', 'sun': '10:30-19:30'}, 'ypage': 'https://yandex.ru/maps/org/mir_furnitury/26378172227/?ll=37.681383%2C55.717891&z=13', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (968) 398-54-45Показать телефон'], 'social': []}"
13,"{'ID': 14, 'name': 'Интернет-магазин Элитных кормов', 'address': '1-й Самотёчный пер., 17А, Москва', 'website': 'foodelit.ru', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/internet_magazin_elitnykh_kormov/1715523233/?ll=37.609495%2C55.777824&z=13', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (495) 923-26-67Показать телефон'], 'social': []}"
14,"{'ID': 15, 'name': 'Байкэлектро', 'address': 'Бережковская наб., 20, стр. 5, Москва', 'website': 'bikelectro.ru', 'opening_hours': {'mon': '11:00-19:00', 'tue': '11:00-19:00', 'wed': '11:00-19:00', 'thu': '11:00-19:00', 'fri': '11:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/baykelektro/30712915477/?ll=37.555211%2C55.734915&z=15', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (967) 044-16-67Показать телефон'], 'social': ['http://youtube.com/user/Bikeelectro', 'https://vk.com/bikelectro', 'https://wa.me/79670441667']}"
15,"{'ID': 16, 'name': 'Нордвик', 'address': 'ул. Миклухо-Маклая, 30, Москва', 'website': 'opticdevices.ru', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-17:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/nordvik/1005100190/?ll=37.527978%2C55.640613&z=13', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (499) 638-25-32Показать телефон'], 'social': ['http://vk.com/nordvikoptics', 'https://viber.click/79266126522', 'https://wa.me/79266126522']}"
16,"{'ID': 17, 'name': 'Индефини', 'address': 'Сормовский пр., 11, стр. 7, Москва', 'website': 'indefini.com', 'opening_hours': {'mon': '08:00-17:00', 'tue': '08:00-17:00', 'wed': '08:00-17:00', 'thu': '08:00-17:00', 'fri': '08:00-17:00', 'sat': '09:00-17:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/indefini/135710270192/?ll=37.803119%2C55.706771&z=16', 'goods': None, 'rating': '4,0', 'reviews': None, 'phone': ['+7 (495) 902-75-18Показать телефон'], 'social': ['http://vk.com/indefini_home', 'http://youtube.com/channel/UC1qH20lfqK4b_BgNQ-iP9Ww']}"
17,"{'ID': 18, 'name': 'ВСК', 'address': 'ул. Энергетиков, 24, Дзержинский', 'website': '', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/vsk/219476110827/?ll=37.827527%2C55.643612&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': ['https://vk.com/public184331372']}"
18,"{'ID': 19, 'name': 'Ittann', 'address': 'Карамышевская наб., 2А, Москва', 'website': 'ittann.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/ittann/111434946137/?ll=37.494205%2C55.768580&z=13', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (995) 117-21-47Показать телефон'], 'social': ['https://t.me/ittann_brand', 'https://wa.me/79951172147']}"
19,"{'ID': 20, 'name': 'Крейзи Бич', 'address': 'Краснохолмская наб., 1/15, Москва', 'website': 'crazybeach.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/kreyzi_bich/240313805139/?ll=37.649481%2C55.736410&z=13', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (495) 108-19-16Показать телефон'], 'social': ['https://t.me/+KAWFjy5p7MNkMjVi', 'https://vk.com/crazybeachru', 'https://wa.me/79264764407']}"
20,"{'ID': 21, 'name': 'Тренди Леди РУ', 'address': 'Малый Гнездниковский пер., 10, Москва', 'website': 'trendy-lady.su', 'opening_hours': {'mon': '14:00-21:00', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': '14:00-21:00', 'sat': '14:00-21:00', 'sun': '14:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/trendi_ledi_ru/11870588576/?ll=37.606185%2C55.762308&z=15', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['+7 (977) 553-14-73Показать телефон'], 'social': ['https://vk.com/trendy_lady_ru', 'https://wa.me/79775531473']}"
21,"{'ID': 22, 'name': 'Piano4you', 'address': 'Переведеновский пер., 17, корп. 1, Москва', 'website': 'www.piano4you.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/piano4you/1100256929/?ll=37.691381%2C55.780780&z=13', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 147-20-19Показать телефон'], 'social': []}"
22,"{'ID': 23, 'name': 'Olympus', 'address': '5-й Донской пр., 21Б, стр. 10, Москва', 'website': 'olympus.store', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/olympus/127769734409/?ll=37.596730%2C55.704975&z=13', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['8 (800) 333-89-67Показать телефон'], 'social': ['https://ok.ru/group/63501403881717', 'https://vk.com/olympusrussia', 'https://www.youtube.com/channel/UCOjZjg_vtNUCFP5uCOHKThA']}"
23,"{'ID': 24, 'name': 'OneAndHome', 'address': 'Дербеневская ул., 14, корп. 3, Москва', 'website': 'oneandhome.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/oneandhome/232632019667/?ll=37.648456%2C55.723218&z=13', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['+7 (495) 150-06-78Показать телефон'], 'social': ['https://vk.com/oneandhome']}"
24,"{'ID': 25, 'name': 'АйЗамок', 'address': 'Косинская ул., 7, Москва', 'website': 'www.izamok.com', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/ayzamok/219668231780/?ll=37.832297%2C55.716752&z=16', 'goods': None, 'rating': '4,0', 'reviews': None, 'phone': ['+7 (926) 648-09-70Показать телефон'], 'social': ['http://vk.com/public79093034']}"
25,"{'ID': 26, 'name': 'Инженерные системы Ру100', 'address': 'Огородный пр., 20А, стр. 1, Москва', 'website': 'py100.ru', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/inzhenernyye_sistemy_ru100/1689157965/?ll=37.595851%2C55.818066&z=13', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['8 (800) 707-16-86Показать телефон'], 'social': []}"
26,"{'ID': 27, 'name': 'Все Со Склада', 'address': 'ул. Кржижановского, 14, корп. 1, Москва', 'website': 'vsesosklada.ru', 'opening_hours': {'mon': '11:00-19:30', 'tue': '11:00-19:30', 'wed': '11:00-19:30', 'thu': '11:00-19:30', 'fri': '11:00-19:30', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/vse_so_sklada/189580402490/?ll=37.568365%2C55.680395&z=13', 'goods': None, 'rating': '3,7', 'reviews': None, 'phone': ['+7 (925) 378-82-38Показать телефон'], 'social': []}"
27,"{'ID': 28, 'name': 'Артитек-Рус', 'address': 'Духовской пер., 17, стр. 11, Москва', 'website': 'www.podves-kartin.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/artitek_rus/222664954414/?ll=37.615628%2C55.704496&z=13', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['+7 (903) 700-51-31Показать телефон'], 'social': ['https://vk.com/artiteq_russia', 'https://wa.me/79037005131']}"
28,"{'ID': 29, 'name': 'Doorsmsk.ru', 'address': 'ул. Генерала Белова, 2, Москва', 'website': 'doorsmsk.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/doorsmsk_ru/1192747379/?ll=37.714321%2C55.624378&z=16', 'goods': None, 'rating': '3,8', 'reviews': None, 'phone': ['+7 (499) 394-72-88Показать телефон'], 'social': []}"
29,"{'ID': 30, 'name': 'Edgun-shop, шоурум pcp пневматики', 'address': 'Измайловский пр., 11, Москва', 'website': 'edgun-shop.ru', 'opening_hours': {'mon': 'выходной', 'tue': '12:00-18:00', 'wed': '12:00-18:00', 'thu': '12:00-18:00', 'fri': '12:00-18:00', 'sat': '12:00-18:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/edgun_shop_shourum_pcp_pnevmatiki/138962460552/?ll=37.768168%2C55.798965&z=13', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['+7 (929) 639-65-29Показать телефон'], 'social': ['https://t.me/edgunshop', 'https://vk.com/edgunshop', 'https://wa.me/79778155345', 'https://www.youtube.com/channel/UC_PaR9MZdAtzpNLw9WFDfcg']}"
30,"{'ID': 31, 'name': 'Outdoorstylist', 'address': 'пр. Аэропорта, 8, Москва', 'website': 'www.outdoorstylist.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/outdoorstylist/165889539058/?ll=37.522288%2C55.797347&z=16', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['+7 (495) 212-90-86Показать телефон'], 'social': []}"
31,"{'ID': 32, 'name': 'Global Market', 'address': '1-й Красносельский пер., 9А, Москва', 'website': '', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/global_market/52224627887/?ll=37.667190%2C55.785481&z=13', 'goods': None, 'rating': '4,0', 'reviews': None, 'phone': ['+7 (495) 723-11-63Показать телефон'], 'social': []}"
32,"{'ID': 33, 'name': 'Mozaik Shop', 'address': 'Новокуркинское ш., 1, Москва', 'website': '', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/mozaik_shop/48511113419/?ll=37.407196%2C55.884964&z=16', 'goods': None, 'rating': '4,0', 'reviews': None, 'phone': [], 'social': []}"
33,"{'ID': 34, 'name': 'Ergohuman. Su', 'address': 'Куликовская ул., 12, Москва', 'website': 'ergohuman.su', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': '13:00-19:00', 'sun': '13:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/ergohuman_su/83836206307/?ll=37.563934%2C55.572182&z=16', 'goods': None, 'rating': '3,7', 'reviews': None, 'phone': ['+7 (499) 714-72-40Показать телефон'], 'social': ['https://www.youtube.com/channel/UCA4FpUE7LaP7kh1y5WNjJJw?view_as=subscriber']}"
34,"{'ID': 35, 'name': 'Климстор', 'address': 'Енисейская ул., 46, корп. 2, Москва', 'website': 'climstore.ru', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/klimstor/66443091315/?ll=37.670564%2C55.878001&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 476-58-93Показать телефон'], 'social': ['https://vk.com/climstore']}"
35,"{'ID': 36, 'name': 'Ice Cube', 'address': 'Можайское ш., вл165, рабочий посёлок Новоивановское', 'website': '', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/ice_cube/105002632844/?ll=37.382402%2C55.709601&z=13', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (962) 584-91-50Показать телефон'], 'social': []}"
36,"{'ID': 37, 'name': 'Elen Om', 'address': 'Хохловский пер., 7-9с1, Москва', 'website': 'www.elenom.ru', 'opening_hours': {'mon': '12:00-00:00', 'tue': '12:00-00:00', 'wed': '12:00-00:00', 'thu': '12:00-00:00', 'fri': '12:00-00:00', 'sat': '12:00-00:00', 'sun': '12:00-00:00'}, 'ypage': 'https://yandex.ru/maps/org/45133610800/?ll=37.642887%2C55.755662&z=14', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (926) 229-21-99Показать телефон'], 'social': []}"
37,"{'ID': 38, 'name': 'Whs-shop.ru', 'address': 'Коммерческий пр., 1, Котельники', 'website': 'whs-shop.ru', 'opening_hours': {'mon': '08:00-22:00', 'tue': '08:00-22:00', 'wed': '08:00-22:00', 'thu': '08:00-22:00', 'fri': '08:00-22:00', 'sat': '08:00-22:00', 'sun': '08:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/whs_shop_ru/72378512665/?ll=37.845403%2C55.649916&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (966) 345-70-00Показать телефон'], 'social': []}"
38,"{'ID': 39, 'name': 'Flossy', 'address': 'Тимирязевская ул., 1, стр. 2, Москва', 'website': 'flossyshoes.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/flossy/145486433012/?ll=37.568722%2C55.806919&z=14', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['+7 (499) 229-20-27Показать телефон'], 'social': ['http://vk.com/flossyshoesru', 'https://t.me/flossyshoesru']}"
39,"{'ID': 40, 'name': 'Bornsoon', 'address': 'ул. Академика Анохина, 64, стр. А, Москва', 'website': '', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/bornsoon/9843418106/?ll=37.467922%2C55.648017&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
40,"{'ID': 41, 'name': 'Азарэлли', 'address': '1-й Котляковский пер., 3, Москва', 'website': 'www.azarelli.ru', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/azarelli/62650227764/?ll=37.638608%2C55.649867&z=13', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (926) 950-39-15Показать телефон'], 'social': ['http://vk.com/azarelli']}"
41,"{'ID': 42, 'name': 'Savon De Marseille', 'address': 'Рублёвский пр., 40, корп. 5В, село Ромашково', 'website': '', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/savon_de_marseille/216992591957/?ll=37.331593%2C55.726654&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
42,"{'ID': 43, 'name': 'Qari Qris', 'address': 'ул. Петровка, 23/10с5, Москва', 'website': 'qariqris.com', 'opening_hours': {'mon': '12:00-21:00', 'tue': '12:00-21:00', 'wed': '12:00-21:00', 'thu': '12:00-21:00', 'fri': '12:00-21:00', 'sat': '12:00-21:00', 'sun': '12:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/qari_qris/118707766103/?ll=37.615053%2C55.766280&z=14', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (985) 731-04-59Показать телефон'], 'social': ['https://t.me/qariqris', 'https://vk.com/qariqris.store', 'https://www.youtube.com/channel/UCqwyRhA0eTE3m8AwTGqitNg?app=desktop']}"
43,"{'ID': 44, 'name': 'Гикбордс', 'address': 'Нижний Сусальный пер., 5, стр. 4, Москва', 'website': 'geekboards.ru', 'opening_hours': {'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00', 'sun': '11:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/gikbords/76388022897/?ll=37.663234%2C55.760052&z=13', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (495) 135-35-88Показать телефон'], 'social': ['https://vk.com/geekboards', 'https://www.youtube.com/geekboards']}"
44,"{'ID': 45, 'name': 'Интернет-магазин Penstore.ru', 'address': 'Бутырская ул., 77, Москва', 'website': '', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/internet_magazin_penstore_ru/148585176624/?ll=37.582387%2C55.804045&z=13', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
45,"{'ID': 46, 'name': 'Olalafason.ru', 'address': 'ул. Гиляровского, 4, стр. 5, Москва', 'website': 'olalafason.ru', 'opening_hours': {'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00', 'sun': '11:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/olalafason_ru/12375877598/?ll=37.630633%2C55.774090&z=14', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (965) 300-50-40Показать телефон'], 'social': ['https://t.me/olalafason_ru', 'https://vk.com/olalafason', 'https://wa.me/79653005040']}"
